# rule	path	count
find_one	services/src/supplier_api/governance.rs	1
mongodb_bson	services/src/supplier_api/governance.rs	1
doc_macro	services/src/supplier_fulfillment/mod.rs	13
find_many	services/src/supplier_fulfillment/mod.rs	5
find_many_sorted	services/src/supplier_fulfillment/mod.rs	4
mongodb_bson	services/src/supplier_fulfillment/mod.rs	1
doc_macro	services/src/supplier_offering/mod.rs	12
find_many	services/src/supplier_offering/mod.rs	12
mongodb_bson	services/src/supplier_offering/mod.rs	1
doc_macro	services/src/supplier_settlement/mod.rs	8
find_many_sorted	services/src/supplier_settlement/mod.rs	4
mongodb_bson	services/src/supplier_settlement/mod.rs	8
doc_macro	services/src/supplier_settlement/source.rs	2
find_many	services/src/supplier_settlement/source.rs	2
mongodb_bson	services/src/supplier_settlement/source.rs	2
doc_macro	services/src/warehouse/mod.rs	2
find_many	services/src/warehouse/mod.rs	2
mongodb_bson	services/src/warehouse/mod.rs	1
doc_macro	services/src/work_item/change_order_brief.rs	4
find_many	services/src/work_item/change_order_brief.rs	4
mongodb_bson	services/src/work_item/change_order_brief.rs	1
doc_macro	services/src/work_item/funds_document_brief.rs	14
find_many	services/src/work_item/funds_document_brief.rs	14
mongodb_bson	services/src/work_item/funds_document_brief.rs	1
doc_macro	services/src/work_item/inventory_settlement_brief.rs	3
find_many	services/src/work_item/inventory_settlement_brief.rs	3
mongodb_bson	services/src/work_item/inventory_settlement_brief.rs	1
doc_macro	services/src/work_item/mod.rs	9
find_many	services/src/work_item/mod.rs	9
mongodb_bson	services/src/work_item/mod.rs	1
doc_macro	services/src/work_item/party_names.rs	1
find_many	services/src/work_item/party_names.rs	1
mongodb_bson	services/src/work_item/party_names.rs	1
doc_macro	services/src/work_item/purchase_review_brief.rs	3
find_many	services/src/work_item/purchase_review_brief.rs	3
mongodb_bson	services/src/work_item/purchase_review_brief.rs	1
doc_macro	services/src/work_item/sales_order_brief.rs	2
find_many	services/src/work_item/sales_order_brief.rs	2
mongodb_bson	services/src/work_item/sales_order_brief.rs	1
